Latest valid ACE flux data...
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900   Index
#------------------------------------------------------------------------------------------------------------------
2020 03 30  0950   58938   35400  0  8.23e+02  3.05e+01  0  2.40e+03  2.42e+01  2.38e+00  6.19e-01  2.14e-01  -1.00
Latest ACE fluence when CXO is above 70kkm                                                                   Int Time (s)
2020 03 30  0950   58938   35400  -  4.49e+07  1.47e+06  -  1.26e+08  1.01e+06  1.34e+05  3.31e+04  1.05e+04   27000
