-----   Orbit start ------  ------- Electron keV --------   ----------------------------------- Protons keV ----------------------------
                               38-53           175-315         56-78          112-187         337-594         761-1220        1073-1802
YEAR MODAY HHMN DOY   SECS  Orbit  Summed   Orbit  Summed   Orbit  Summed   Orbit  Summed   Orbit  Summed   Orbit  Summed   Orbit  Summed  Integ
---- -- -- ---- ---   ----  -----  ------   -----  ------   -----  ------   -----  ------   -----  ------   -----  ------   -----  ------  -----
2000  5  6 1824 125 38340 1.7e+09 1.7e+09 2.3e+07 2.3e+07 1.1e+08 1.1e+08 2.8e+07 2.8e+07 4.6e+06 4.6e+06 1.5e+06 1.5e+06 8.1e+05 8.1e+05 200700
2000  5 12  119 130 63240 3.7e+07 1.7e+09 9.9e+05 2.4e+07 2.0e+07 1.3e+08 3.1e+06 3.1e+07 4.3e+05 5.1e+06 1.5e+05 1.6e+06 5.6e+04 8.7e+05 200700
2000  5 14 1649 133 32640 6.2e+07 1.8e+09 1.7e+06 2.6e+07 2.2e+08 3.5e+08 3.1e+07 6.1e+07 2.7e+06 7.8e+06 4.3e+05 2.0e+06 1.3e+05 1.0e+06 200700
2000  5 17  814 136  2041 4.3e+08 2.2e+09 6.4e+06 3.2e+07 2.5e+08 6.0e+08 2.7e+08 3.3e+08 1.2e+08 1.3e+08 3.2e+07 3.4e+07 1.2e+07 1.3e+07 200100
2000  5 19 2339 138 57540 1.3e+09 3.5e+09 1.4e+07 4.6e+07 4.7e+08 1.1e+09 8.3e+07 4.1e+08 2.1e+07 1.5e+08 1.0e+07 4.4e+07 3.7e+06 1.6e+07 200400
2000  5 22 1744 141 26640 8.7e+08 4.4e+09 7.8e+06 5.4e+07 5.6e+08 1.6e+09 2.1e+08 6.2e+08 4.8e+07 2.0e+08 1.6e+07 6.1e+07 5.3e+06 2.2e+07 209400
2000  5 25  909 143 73140 2.4e+09 6.9e+09 1.1e+07 6.6e+07 7.0e+09 8.7e+09 1.0e+09 1.6e+09 8.1e+07 2.8e+08 8.7e+06 7.0e+07 3.2e+06 2.5e+07 219000
2000  5 28   39 146 42540 9.3e+07 6.9e+09 2.5e+06 6.8e+07 8.8e+07 8.7e+09 1.4e+07 1.7e+09 1.3e+06 2.8e+08 2.6e+05 7.0e+07 1.1e+05 2.5e+07 219000
2000  5 30 1604 149 11640 6.4e+07 7.0e+09 2.0e+06 7.0e+07 1.3e+08 8.9e+09 5.3e+06 1.7e+09 5.4e+05 2.8e+08 1.9e+05 7.0e+07 6.1e+04 2.5e+07 219000
2000  6  2  734 151 67140 1.6e+07 7.0e+09 1.4e+06 7.2e+07 1.1e+07 8.9e+09 1.6e+06 1.7e+09 1.3e+05 2.8e+08 3.1e+04 7.0e+07 7.1e+03 2.5e+07 219300
2000  6  4 2304 154 36540 3.3e+08 7.4e+09 2.8e+06 7.4e+07 4.4e+08 9.3e+09 3.3e+07 1.7e+09 2.1e+06 2.8e+08 2.8e+05 7.0e+07 9.5e+04 2.5e+07 219300
2000  6  7 1434 157  5640 2.7e+08 7.6e+09 4.6e+06 7.9e+07 1.4e+09 1.1e+10 3.0e+08 2.0e+09 4.2e+07 3.3e+08 1.0e+07 8.0e+07 3.0e+06 2.8e+07 219300
2000  6 10  559 159 61741 1.2e+09 8.9e+09 1.3e+07 9.1e+07 3.2e+11 3.3e+11 3.5e+09 5.5e+09 2.4e+09 2.7e+09 1.9e+08 2.7e+08 1.0e+09 1.0e+09 270900
2000  6 12 2134 162 31140 2.8e+09 1.2e+10 5.7e+07 1.5e+08 1.4e+09 3.3e+11 6.5e+08 6.2e+09 2.0e+08 2.9e+09 7.6e+07 3.4e+08 3.0e+07 1.1e+09 219000
2000  6 15 1254 165   240 4.8e+07 1.2e+10 9.9e+05 1.5e+08 1.2e+09 3.3e+11 2.4e+08 6.4e+09 3.2e+07 2.9e+09 7.4e+06 3.5e+08 2.3e+06 1.1e+09 219000
2000  6 18  424 167 56040 9.3e+08 1.3e+10 3.5e+06 1.5e+08 3.8e+07 3.3e+11 1.6e+07 6.4e+09 5.3e+06 2.9e+09 1.7e+06 3.5e+08 7.0e+05 1.1e+09 219000
2000  6 20 1954 170 25440 1.4e+08 1.3e+10 1.9e+06 1.6e+08 2.9e+08 3.3e+11 1.0e+08 6.5e+09 1.4e+07 3.0e+09 2.0e+06 3.5e+08 5.6e+05 1.1e+09 219300
2000  6 23 1119 172 80940 5.9e+08 1.3e+10 8.2e+06 1.6e+08 3.6e+08 3.3e+11 1.7e+08 6.7e+09 5.4e+07 3.0e+09 1.8e+07 3.7e+08 6.5e+06 1.1e+09 219000
2000  6 26  249 175 50340 1.6e+09 1.5e+10 8.2e+06 1.7e+08 3.9e+09 3.4e+11 7.1e+08 7.4e+09 7.3e+07 3.1e+09 1.1e+07 3.8e+08 4.0e+06 1.1e+09 219000
2000  6 28 1814 178 19441 1.4e+08 1.5e+10 2.8e+06 1.7e+08 2.3e+08 3.4e+11 6.0e+07 7.5e+09 1.7e+07 3.1e+09 6.1e+06 3.9e+08 2.1e+06 1.1e+09 219000
2000  7  1  944 180 75240 1.8e+08 1.5e+10 2.7e+06 1.8e+08 6.5e+08 3.4e+11 2.5e+08 7.7e+09 5.5e+07 3.2e+09 1.3e+07 4.0e+08 4.2e+06 1.1e+09 219000
2000  7  4  114 183 44640 3.8e+07 1.5e+10 2.4e+06 1.8e+08 1.4e+07 3.4e+11 3.5e+06 7.7e+09 3.9e+05 3.2e+09 1.1e+05 4.0e+08 3.5e+04 1.1e+09 219000
2000  7  6 1644 186 14041 3.0e+07 1.5e+10 2.4e+06 1.8e+08 7.2e+06 3.4e+11 2.2e+06 7.7e+09 2.1e+05 3.2e+09 5.7e+04 4.0e+08 1.2e+04 1.1e+09 219000
2000  7  9  814 188 69541 3.5e+07 1.5e+10 2.5e+06 1.8e+08 1.9e+07 3.4e+11 5.8e+06 7.7e+09 7.9e+05 3.2e+09 1.1e+05 4.0e+08 2.6e+04 1.1e+09 219300
2000  7 11 2344 191 38940 4.6e+08 1.6e+10 4.8e+06 1.9e+08 6.5e+09 3.5e+11 9.4e+08 8.7e+09 5.3e+07 3.2e+09 4.6e+06 4.1e+08 1.3e+06 1.1e+09 219300
2000  7 14 1514 194  8340 3.5e+09 1.9e+10 2.0e+07 2.1e+08 2.0e+10 3.7e+11 4.7e+09 1.3e+10 5.6e+08 3.8e+09 1.1e+08 5.1e+08 3.4e+07 1.1e+09 137400
2000  7 17  138 196 82380 0.0e+00 1.9e+10 0.0e+00 2.1e+08 0.0e+00 3.7e+11 0.0e+00 1.3e+10 0.0e+00 3.8e+09 0.0e+00 5.1e+08 0.0e+00 1.1e+09 219300
2000  7 20  154 202  2641 3.9e+09 2.3e+10 8.9e+07 3.0e+08 3.8e+08 3.7e+11 1.1e+08 1.4e+10 2.3e+07 3.8e+09 1.1e+07 5.2e+08 4.7e+06 1.1e+09 233070
2000  7 22 1344 202  2641 3.7e+08 2.4e+10 8.5e+06 3.1e+08 8.2e+08 3.7e+11 1.5e+08 1.4e+10 1.4e+07 3.8e+09 2.1e+06 5.3e+08 6.4e+05 1.1e+09 215100
2000  7 25  509 204 58141 3.5e+08 2.4e+10 9.5e+06 3.2e+08 3.5e+08 3.7e+11 1.2e+08 1.4e+10 2.3e+07 3.8e+09 6.6e+06 5.3e+08 2.6e+06 1.1e+09 219600
2000  7 27 2154 209 78841 3.8e+08 2.4e+10 1.1e+07 3.3e+08 1.3e+09 3.7e+11 2.4e+08 1.4e+10 1.9e+07 3.9e+09 2.4e+06 5.4e+08 7.9e+05 1.1e+09 228300
2000  7 30 1324 212 48240 9.7e+08 2.5e+10 2.3e+07 3.5e+08 2.5e+09 3.7e+11 2.0e+08 1.4e+10 1.0e+07 3.9e+09 1.7e+06 5.4e+08 7.8e+05 1.1e+09 228300
2000  8  2  454 215 17641 2.5e+08 2.6e+10 7.1e+06 3.6e+08 3.7e+07 3.7e+11 8.6e+06 1.4e+10 1.5e+06 3.9e+09 6.8e+05 5.4e+08 2.8e+05 1.1e+09 228300
2000  8  4 2019 217 73140 2.0e+08 2.6e+10 5.0e+06 3.6e+08 3.5e+07 3.7e+11 1.1e+07 1.4e+10 2.0e+06 3.9e+09 5.4e+05 5.4e+08 1.6e+05 1.1e+09 181500
2000  8  7 1149 220 42540 1.9e+08 2.6e+10 4.7e+06 3.7e+08 4.1e+08 3.7e+11 5.1e+07 1.4e+10 5.3e+06 3.9e+09 1.1e+06 5.4e+08 3.5e+05 1.1e+09 228300
2000  8 10  314 223 11640 4.4e+07 2.6e+10 8.8e+05 3.7e+08 9.1e+07 3.7e+11 1.8e+07 1.4e+10 1.7e+06 3.9e+09 2.4e+05 5.4e+08 6.2e+04 1.1e+09 228000
2000  8 12 1844 225 67441 1.4e+08 2.6e+10 1.2e+06 3.7e+08 4.7e+09 3.8e+11 9.6e+08 1.5e+10 1.1e+08 4.0e+09 2.0e+07 5.6e+08 6.5e+06 1.1e+09 228000
2000  8 15 1014 228 36841 1.5e+09 2.8e+10 9.4e+06 3.8e+08 2.0e+09 3.8e+11 7.9e+08 1.6e+10 2.1e+08 4.2e+09 9.3e+07 6.5e+08 3.7e+07 1.2e+09 228300
2000  8 18  139 231  5941 2.4e+08 2.8e+10 2.6e+07 4.0e+08 3.6e+09 3.8e+11 3.6e+08 1.6e+10 6.4e+07 4.3e+09 4.3e+07 7.0e+08 3.9e+06 1.2e+09 228000
2000  8 20 1709 233 61741 4.6e+07 2.8e+10 2.2e+06 4.1e+08 4.4e+07 3.8e+11 1.1e+07 1.6e+10 1.5e+06 4.3e+09 4.0e+05 7.0e+08 1.2e+05 1.2e+09 228300
2000  8 23  834 236 30840 5.5e+07 2.8e+10 9.5e+05 4.1e+08 4.1e+06 3.8e+11 1.2e+06 1.6e+10 1.4e+05 4.3e+09 3.7e+04 7.0e+08 1.2e+04 1.2e+09 228000
2000  8 26    4 239   240 1.2e+07 2.8e+10 4.4e+05 4.1e+08 7.1e+06 3.8e+11 1.4e+06 1.6e+10 1.4e+05 4.3e+09 2.4e+04 7.0e+08 1.2e+04 1.2e+09 228300
2000  8 28 1534 241 56040 1.5e+07 2.8e+10 8.3e+05 4.1e+08 1.7e+07 3.8e+11 2.0e+06 1.6e+10 1.6e+05 4.3e+09 4.3e+04 7.0e+08 1.4e+04 1.2e+09 228300
2000  8 31  704 244 25440 3.9e+07 2.8e+10 2.2e+06 4.1e+08 6.1e+07 3.8e+11 4.3e+06 1.6e+10 2.3e+05 4.3e+09 5.1e+04 7.0e+08 1.7e+04 1.2e+09 228300
2000  9  2 2229 246 80941 4.8e+05 2.8e+10 3.0e+04 4.1e+08 8.0e+06 3.8e+11 1.3e+06 1.6e+10 4.9e+04 4.3e+09 2.4e+03 7.0e+08 1.0e+03 1.2e+09 33900
2000  9  5 1359 249 50340 6.2e+07 2.8e+10 2.3e+06 4.1e+08 3.3e+08 3.8e+11 5.5e+07 1.6e+10 1.2e+07 4.3e+09 1.8e+06 7.0e+08 1.6e+06 1.2e+09 228300
2000  9  8  524 252 19441 6.3e+07 2.8e+10 2.2e+06 4.2e+08 6.9e+09 3.9e+11 1.8e+09 1.8e+10 2.3e+08 4.5e+09 3.2e+07 7.3e+08 9.8e+06 1.2e+09 228000
2000  9 10 2054 254 75240 1.2e+08 2.8e+10 3.6e+06 4.2e+08 2.7e+08 3.9e+11 3.9e+07 1.8e+10 6.4e+06 4.5e+09 2.6e+06 7.3e+08 1.0e+06 1.2e+09 228300
2000  9 13 1219 257 44340 1.5e+09 3.0e+10 3.2e+07 4.5e+08 2.1e+07 3.9e+11 6.7e+06 1.8e+10 6.3e+06 4.5e+09 6.0e+06 7.4e+08 3.9e+06 1.2e+09 120900
2000  9 16  349 260 13741 1.4e+09 3.1e+10 2.1e+07 4.7e+08 2.3e+09 3.9e+11 6.9e+08 1.9e+10 1.4e+08 4.7e+09 5.1e+07 7.9e+08 2.1e+07 1.2e+09 228000
2000  9 18 1914 262 69240 1.4e+09 3.3e+10 1.3e+07 4.9e+08 6.6e+09 4.0e+11 1.2e+09 2.0e+10 1.9e+08 4.8e+09 5.2e+07 8.4e+08 2.0e+07 1.2e+09 228000
2000  9 21 1044 265 38640 5.5e+08 3.3e+10 4.4e+06 4.9e+08 2.3e+08 4.0e+11 5.7e+07 2.0e+10 7.0e+06 4.9e+09 1.6e+06 8.4e+08 5.7e+05 1.2e+09 228300
2000  9 24  214 268  8040 4.2e+08 3.4e+10 3.8e+06 4.9e+08 5.6e+07 4.0e+11 1.1e+07 2.0e+10 1.9e+06 4.9e+09 6.7e+05 8.4e+08 2.3e+05 1.2e+09 228300
2000  9 26 1739 270 63540 7.7e+07 3.4e+10 1.5e+06 4.9e+08 9.5e+06 4.0e+11 1.5e+06 2.0e+10 2.5e+05 4.9e+09 8.6e+04 8.4e+08 2.7e+04 1.2e+09 228000
2000  9 29  909 273 32940 0.0e+00 3.4e+10 0.0e+00 4.9e+08 0.0e+00 4.0e+11 0.0e+00 2.0e+10 0.0e+00 4.9e+09 0.0e+00 8.4e+08 0.0e+00 1.2e+09 228300
2000 10  2   34 276  2041 4.9e+07 3.4e+10 7.3e+05 5.0e+08 4.5e+07 4.0e+11 4.3e+06 2.0e+10 2.3e+05 4.9e+09 2.1e+04 8.4e+08 8.7e+03 1.2e+09 228000
2000 10  4 1604 278 57840 2.5e+08 3.4e+10 2.2e+06 5.0e+08 8.6e+07 4.0e+11 1.9e+07 2.0e+10 3.0e+06 4.9e+09 4.4e+05 8.5e+08 1.6e+05 1.2e+09 228300
2000 10  7  729 281 26940 7.9e+06 3.4e+10 3.5e+05 5.0e+08 1.3e+07 4.0e+11 1.3e+06 2.0e+10 8.2e+04 4.9e+09 1.3e+04 8.5e+08 4.2e+03 1.2e+09 228000
2000 10  9 2259 283 82741 3.4e+07 3.4e+10 2.2e+06 5.0e+08 1.5e+07 4.0e+11 2.9e+06 2.0e+10 2.4e+05 4.9e+09 5.2e+04 8.5e+08 1.3e+04 1.2e+09 228300
2000 10 12 1424 286 51840 1.9e+08 3.4e+10 3.1e+06 5.0e+08 1.1e+09 4.0e+11 2.5e+08 2.1e+10 1.0e+07 4.9e+09 8.2e+05 8.5e+08 3.8e+05 1.2e+09 227700
2000 10 15  549 289 20940 3.9e+08 3.5e+10 3.7e+06 5.1e+08 7.1e+09 4.1e+11 1.3e+09 2.2e+10 1.1e+08 5.0e+09 1.5e+07 8.6e+08 3.9e+06 1.2e+09 228000
2000 10 17 2119 291 76740 1.5e+09 3.6e+10 2.3e+07 5.3e+08 2.2e+08 4.1e+11 4.8e+07 2.2e+10 8.4e+06 5.0e+09 4.6e+06 8.7e+08 2.6e+06 1.3e+09 228300
2000 10 20 1249 294 46140 4.0e+08 3.6e+10 6.4e+06 5.4e+08 1.1e+08 4.1e+11 1.2e+07 2.2e+10 2.8e+06 5.0e+09 2.0e+06 8.7e+08 1.0e+06 1.3e+09 228000
2000 10 23  419 297 15540 1.2e+08 3.7e+10 3.5e+06 5.4e+08 1.4e+07 4.1e+11 3.5e+06 2.2e+10 6.6e+05 5.0e+09 3.2e+05 8.7e+08 1.3e+05 1.3e+09 228300
2000 10 25 1944 299 71040 0.0e+00 3.7e+10 0.0e+00 5.4e+08 0.0e+00 4.1e+11 0.0e+00 2.2e+10 0.0e+00 5.0e+09 0.0e+00 8.7e+08 0.0e+00 1.3e+09 228000
2000 10 28 1109 302 40141 2.0e+09 3.9e+10 2.2e+07 5.6e+08 2.5e+09 4.1e+11 1.6e+09 2.3e+10 4.2e+08 5.4e+09 1.3e+08 1.0e+09 4.4e+07 1.3e+09 228000
2000 10 31  239 305  9540 1.3e+09 4.0e+10 1.2e+07 5.7e+08 2.7e+09 4.1e+11 3.8e+08 2.4e+10 3.1e+07 5.5e+09 4.8e+06 1.0e+09 1.4e+06 1.3e+09 227100
2000 11  2 1804 307 65040 4.9e+08 4.0e+10 5.6e+06 5.8e+08 2.5e+09 4.2e+11 5.2e+08 2.4e+10 6.6e+07 5.5e+09 1.7e+07 1.0e+09 5.2e+06 1.3e+09 97200
2000 11  5  934 310 34440 1.5e+09 4.2e+10 9.8e+06 5.9e+08 5.2e+09 4.2e+11 1.1e+09 2.5e+10 1.9e+08 5.7e+09 6.0e+07 1.1e+09 2.1e+07 1.3e+09 228300
2000 11  8   59 313  3540 1.9e+08 4.2e+10 2.7e+06 5.9e+08 2.0e+09 4.2e+11 1.2e+08 2.6e+10 6.2e+06 5.7e+09 1.0e+06 1.1e+09 3.1e+05 1.3e+09 228000
2000 11 10 1629 315 59340 2.9e+11 3.3e+11 1.6e+10 1.7e+10 2.5e+10 4.5e+11 6.2e+09 3.2e+10 1.9e+09 7.6e+09 1.1e+09 2.1e+09 6.5e+08 2.0e+09 226800
2000 11 13  754 318 28440 1.4e+10 3.4e+11 9.0e+08 1.8e+10 1.0e+10 4.6e+11 2.1e+09 3.4e+10 3.6e+08 8.0e+09 1.2e+08 2.3e+09 4.8e+07 2.0e+09 228000
2000 11 15 2324 320 84241 4.9e+08 3.4e+11 2.8e+07 1.8e+10 1.7e+07 4.6e+11 3.9e+06 3.4e+10 6.6e+05 8.0e+09 3.2e+05 2.3e+09 1.4e+05 2.0e+09 228300
2000 11 18 1454 323 53640 1.0e+09 3.5e+11 5.5e+07 1.8e+10 2.5e+07 4.6e+11 8.7e+06 3.4e+10 1.7e+06 8.0e+09 5.5e+05 2.3e+09 2.2e+05 2.0e+09 228300
2000 11 21  624 326 23041 4.7e+08 3.5e+11 2.2e+07 1.8e+10 1.3e+07 4.6e+11 2.5e+06 3.4e+10 2.6e+05 8.0e+09 1.1e+05 2.3e+09 5.3e+04 2.0e+09 228300
2000 11 23 2149 328 78540 9.1e+08 3.5e+11 2.9e+07 1.8e+10 6.2e+07 4.6e+11 9.5e+06 3.4e+10 1.3e+06 8.0e+09 6.9e+05 2.3e+09 3.0e+05 2.0e+09 228000
2000 11 26 1314 331 47640 1.1e+10 3.6e+11 2.7e+08 1.8e+10 1.8e+09 4.6e+11 6.3e+08 3.5e+10 2.4e+08 8.2e+09 9.2e+07 2.4e+09 4.1e+07 2.1e+09 228000
2000 11 29  444 334 17040 1.4e+10 3.7e+11 4.2e+08 1.9e+10 4.4e+09 4.6e+11 8.9e+08 3.5e+10 1.2e+08 8.3e+09 4.6e+07 2.4e+09 1.9e+07 2.1e+09 228300
2000 12  1 2014 336 72841 6.1e+09 3.8e+11 1.3e+08 1.9e+10 4.6e+08 4.6e+11 1.1e+08 3.6e+10 2.5e+07 8.4e+09 1.2e+07 2.4e+09 5.3e+06 2.1e+09 228300
2000 12  4 1139 339 41940 3.7e+09 3.8e+11 6.7e+07 1.9e+10 3.8e+08 4.7e+11 8.7e+07 3.6e+10 2.4e+07 8.4e+09 1.3e+07 2.4e+09 5.3e+06 2.1e+09 228000
2000 12  7  309 342 11341 4.6e+08 3.8e+11 8.5e+06 1.9e+10 2.8e+07 4.7e+11 8.7e+06 3.6e+10 5.4e+06 8.4e+09 1.1e+06 2.4e+09 4.4e+05 2.1e+09 228300
2000 12  9 1834 344 66840 3.1e+08 3.8e+11 7.3e+06 1.9e+10 4.4e+08 4.7e+11 1.4e+08 3.6e+10 2.3e+07 8.4e+09 5.3e+06 2.4e+09 1.8e+06 2.1e+09 227700
2000 12 12 1004 347 36240 1.3e+08 3.8e+11 3.7e+06 1.9e+10 1.5e+08 4.7e+11 1.3e+07 3.6e+10 2.0e+06 8.4e+09 7.0e+05 2.4e+09 2.4e+05 2.1e+09 221700
2000 12 15  134 350  5640 6.1e+07 3.8e+11 2.4e+06 1.9e+10 2.9e+07 4.7e+11 3.2e+06 3.6e+10 1.1e+07 8.4e+09 1.6e+05 2.4e+09 4.6e+04 2.1e+09 228300
2000 12 17 1704 352 61440 6.2e+07 3.8e+11 2.8e+06 1.9e+10 4.9e+07 4.7e+11 6.3e+06 3.6e+10 1.9e+06 8.4e+09 1.3e+05 2.4e+09 3.5e+04 2.1e+09 228300
2000 12 20  834 355 30841 6.0e+07 3.8e+11 2.0e+06 1.9e+10 2.7e+08 4.7e+11 4.7e+07 3.6e+10 3.9e+06 8.4e+09 4.1e+05 2.4e+09 1.1e+05 2.1e+09 227700
2000 12 22 2359 357 86342 4.4e+07 3.8e+11 1.9e+06 1.9e+10 1.5e+08 4.7e+11 1.6e+07 3.6e+10 9.5e+05 8.4e+09 1.1e+05 2.4e+09 3.4e+04 2.1e+09 227700
2000 12 25 1529 360 55740 4.6e+07 3.8e+11 1.9e+06 1.9e+10 7.4e+08 4.7e+11 7.6e+07 3.6e+10 3.1e+06 8.4e+09 1.6e+05 2.4e+09 4.5e+04 2.1e+09 228300
2000 12 28  659 363 25140 1.6e+07 3.8e+11 4.9e+05 1.9e+10 7.7e+06 4.7e+11 1.3e+06 3.6e+10 1.6e+05 8.4e+09 4.5e+04 2.4e+09 1.4e+04 2.1e+09 228300
2000 12 30 2224 365 80640 6.5e+07 3.8e+11 2.1e+06 1.9e+10 1.0e+07 4.7e+11 1.7e+06 3.6e+10 2.8e+05 8.4e+09 6.7e+04 2.4e+09 3.2e+04 2.1e+09 228000
2001  1  2 1354   2 50040 2.4e+07 3.8e+11 7.6e+05 1.9e+10 5.3e+07 4.7e+11 7.5e+06 3.6e+10 5.2e+05 8.4e+09 8.3e+04 2.4e+09 3.1e+04 2.1e+09 228300
2001  1  5  519   5 19140 1.3e+08 3.8e+11 1.3e+06 1.9e+10 2.2e+07 4.7e+11 4.5e+06 3.6e+10 9.0e+05 8.4e+09 3.4e+05 2.4e+09 1.2e+05 2.1e+09 228000
2001  1  7 2049   7 74940 5.5e+08 3.8e+11 1.4e+07 1.9e+10 8.1e+07 4.7e+11 3.4e+07 3.6e+10 8.9e+06 8.4e+09 2.2e+06 2.4e+09 7.1e+05 2.1e+09 228300
2001  1 10 1219  10 44341 1.2e+08 3.8e+11 3.0e+06 1.9e+10 1.3e+08 4.7e+11 2.1e+07 3.6e+10 1.7e+06 8.4e+09 2.4e+05 2.4e+09 6.9e+04 2.1e+09 228300
2001  1 13  349  13 13742 1.0e+07 3.8e+11 2.9e+05 1.9e+10 3.8e+06 4.7e+11 6.0e+05 3.6e+10 7.2e+04 8.4e+09 1.7e+04 2.4e+09 6.5e+03 2.1e+09 228300
2001  1 15 1919  15 69540 2.1e+08 3.8e+11 8.0e+06 1.9e+10 4.9e+09 4.7e+11 6.9e+08 3.7e+10 4.3e+07 8.5e+09 3.2e+06 2.4e+09 6.2e+05 2.1e+09 228300
2001  1 18 1044  18 38640 1.1e+08 3.8e+11 2.0e+06 1.9e+10 1.2e+09 4.7e+11 1.5e+08 3.7e+10 1.2e+07 8.5e+09 3.5e+06 2.4e+09 1.4e+06 2.1e+09 228000
2001  1 21  214  21  8040 4.5e+07 3.8e+11 1.3e+06 1.9e+10 3.8e+08 4.7e+11 6.2e+07 3.7e+10 7.7e+06 8.5e+09 1.9e+06 2.4e+09 5.5e+05 2.1e+09 228300
2001  1 23 1744  23 63840 4.9e+08 3.8e+11 9.1e+06 1.9e+10 1.1e+09 4.7e+11 3.5e+08 3.7e+10 5.7e+07 8.6e+09 1.6e+07 2.5e+09 5.3e+06 2.1e+09 228000
2001  1 26  909  26 32940 2.9e+08 3.8e+11 3.0e+06 1.9e+10 1.5e+09 4.8e+11 3.4e+08 3.8e+10 5.0e+07 8.6e+09 1.4e+07 2.5e+09 3.9e+06 2.1e+09 228000
2001  1 29   39  29  2341 2.9e+08 3.8e+11 4.0e+06 1.9e+10 4.5e+08 4.8e+11 1.3e+08 3.8e+10 2.5e+07 8.6e+09 7.4e+06 2.5e+09 2.5e+06 2.1e+09 228300
2001  1 31 1604  31 57841 2.2e+09 3.9e+11 2.7e+07 1.9e+10 6.6e+09 4.8e+11 3.3e+09 4.1e+10 9.6e+08 9.6e+09 4.6e+08 2.9e+09 2.1e+08 2.3e+09 227700
2001  2  3  734  34 27241 6.3e+07 3.9e+11 2.0e+06 1.9e+10 1.4e+09 4.8e+11 2.2e+08 4.1e+10 2.0e+07 9.6e+09 3.5e+06 2.9e+09 1.0e+06 2.3e+09 228000
2001  2  5 2304  36 83040 2.7e+07 3.9e+11 1.3e+06 1.9e+10 2.0e+07 4.8e+11 3.5e+06 4.1e+10 3.7e+05 9.6e+09 9.1e+04 2.9e+09 2.7e+04 2.3e+09 228300
2001  2  8 1434  39 52440 2.4e+07 3.9e+11 1.2e+06 1.9e+10 1.1e+07 4.8e+11 2.1e+06 4.1e+10 1.8e+05 9.6e+09 5.4e+04 2.9e+09 1.2e+04 2.3e+09 228300
2001  2 11  604  42 21842 5.8e+06 3.9e+11 4.4e+05 1.9e+10 5.1e+06 4.8e+11 6.4e+05 4.1e+10 5.0e+04 9.6e+09 1.1e+04 2.9e+09 2.4e+03 2.3e+09 228300
2001  2 13 2129  44 77341 3.7e+07 3.9e+11 1.3e+06 1.9e+10 1.3e+09 4.9e+11 1.6e+08 4.1e+10 1.1e+07 9.6e+09 1.5e+06 2.9e+09 5.1e+05 2.3e+09 228000
2001  2 16 1254  47 46440 4.9e+06 3.9e+11 2.9e+05 1.9e+10 5.5e+07 4.9e+11 5.6e+06 4.1e+10 4.0e+05 9.6e+09 6.2e+04 2.9e+09 1.9e+04 2.3e+09 228000
2001  2 19  424  50 15841 3.5e+06 3.9e+11 2.6e+05 1.9e+10 2.1e+07 4.9e+11 1.9e+06 4.1e+10 1.1e+05 9.6e+09 2.2e+04 2.9e+09 6.3e+03 2.3e+09 228300
2001  2 21 1954  52 71640 3.4e+07 3.9e+11 2.1e+06 1.9e+10 7.7e+07 4.9e+11 7.0e+06 4.1e+10 4.0e+05 9.6e+09 7.7e+04 2.9e+09 2.3e+04 2.3e+09 228300
2001  2 24 1119  55 40740 2.9e+07 3.9e+11 2.1e+06 1.9e+10 1.3e+08 4.9e+11 9.6e+06 4.1e+10 3.6e+05 9.6e+09 5.0e+04 3.0e+09 1.3e+04 2.3e+09 228000
2001  2 27  249  58 10140 4.9e+07 3.9e+11 1.7e+06 1.9e+10 7.9e+06 4.9e+11 7.0e+05 4.1e+10 3.4e+05 9.6e+09 2.8e+05 3.0e+09 1.2e+05 2.3e+09 228300
2001  3  1 1814  60 65640 1.8e+07 3.9e+11 6.4e+05 1.9e+10 2.1e+07 4.9e+11 5.3e+06 4.1e+10 9.2e+05 9.6e+09 3.0e+05 3.0e+09 1.1e+05 2.3e+09 228000
2001  3  4  944  63 35041 4.6e+07 3.9e+11 2.3e+06 1.9e+10 6.6e+08 4.9e+11 3.7e+07 4.1e+10 1.3e+06 9.6e+09 1.1e+05 3.0e+09 2.9e+04 2.3e+09 228000
2001  3  7  114  66  4440 2.9e+07 3.9e+11 1.6e+06 1.9e+10 3.4e+07 4.9e+11 2.5e+06 4.1e+10 1.7e+05 9.6e+09 3.6e+04 3.0e+09 8.9e+03 2.3e+09 228300
2001  3  9 1644  68 60240 1.1e+08 3.9e+11 2.7e+06 1.9e+10 2.0e+07 4.9e+11 2.1e+06 4.1e+10 1.8e+05 9.6e+09 4.6e+04 3.0e+09 1.0e+04 2.3e+09 228300
2001  3 12  809  71 29340 1.2e+08 3.9e+11 3.1e+06 1.9e+10 8.0e+06 4.9e+11 1.4e+06 4.1e+10 1.6e+05 9.6e+09 4.4e+04 3.0e+09 1.5e+04 2.3e+09 228000
2001  3 14 2334  73 84840 5.4e+07 3.9e+11 1.1e+06 1.9e+10 2.2e+07 4.9e+11 3.0e+06 4.1e+10 2.4e+05 9.6e+09 4.5e+04 3.0e+09 1.6e+04 2.3e+09 228000
2001  3 17 1504  76 54241 2.5e+07 3.9e+11 5.4e+05 1.9e+10 4.0e+06 4.9e+11 1.2e+06 4.1e+10 1.7e+05 9.6e+09 4.4e+04 3.0e+09 1.2e+04 2.3e+09 228300
