Orbit Start Time     Orbit Stop Time     External Fluence     Attenuated Fluence
yyyy:doy:hh:mm:ss   yyyy:doy:hh:mm:ss    (p/cm^2-sr-Mev)       (p/cm^2-sr-Mev)
--------------------------------------------------------------------------------
2005:027:17:14:00   2005:030:08:39:01    3.70780867875e+09    5.16769851267e+08
2005:030:08:39:01   2005:033:00:09:00    4.00860865862e+09    3.91813772268e+08
2005:033:00:09:00   2005:035:15:34:01    3.12006007560e+09    2.55943459800e+08
2005:035:15:34:01   2005:038:07:04:00    2.93802106289e+09    2.13593964873e+08
2005:038:07:04:00   2005:040:22:29:01    5.70852357819e+09    9.35837086053e+08
2005:040:22:29:01   2005:043:13:59:00    6.33630907022e+09    4.39151080809e+08
2005:043:13:59:00   2005:046:05:24:01    2.34334840231e+09    1.99832620530e+08
2005:046:05:24:01   2005:048:20:54:00    1.99629774171e+09    2.65776901694e+08
2005:048:20:54:00   2005:051:12:24:01    9.44405185482e+09    1.30305170982e+09
2005:051:12:24:01   2005:054:03:49:02    2.97181318175e+09    2.25551846703e+08
2005:054:03:49:02   2005:056:19:19:00    2.43073014217e+09    2.57169566331e+08
2005:056:19:19:00   2005:059:10:44:01    3.54026260895e+09    3.81609918429e+08
2005:059:10:44:01   2005:062:02:09:01    3.49537304539e+09    2.15721976509e+08
2005:062:02:09:01   2005:064:17:39:02    1.74087020309e+09    2.71346798089e+08
2005:064:17:39:02   2005:067:09:04:01    7.06773757500e+09    1.03697271600e+09
2005:067:09:04:01   2005:070:00:34:01    6.13477082546e+09    9.03885994767e+08
2005:070:00:34:01   2005:072:16:04:01    2.52505625012e+09    1.13937526166e+08
2005:072:16:04:01   2005:075:07:29:00    1.63189033415e+09    3.84812324136e+08
2005:075:07:29:00   2005:077:22:59:01    3.02192071095e+09    3.95254189620e+08
2005:077:22:59:01   2005:080:14:24:02    4.49959970697e+09    3.83794276770e+08
2005:080:14:24:02   2005:083:05:54:00    1.79015387280e+09    2.09361725100e+08
2005:083:05:54:00   2005:085:21:19:01    2.24761277040e+09    6.14095415400e+08
2005:085:21:19:01   2005:088:12:49:01    2.22508111812e+09    4.39675659624e+08
2005:088:12:49:01   2005:091:04:14:01    1.63411405290e+09    3.47560376400e+08
2005:091:04:14:01   2005:093:19:44:00    1.83240038610e+09    1.35630506340e+08
2005:093:19:44:00   2005:096:11:09:00    2.09580481500e+09    8.37403447200e+08
2005:096:11:09:00   2005:099:02:39:00    1.63624945170e+09    3.32443655700e+08
2005:099:02:39:00   2005:101:18:09:01    7.75478460300e+08    1.30715052900e+08
2005:101:18:09:01   2005:104:09:34:01    3.62354008500e+09    7.77724248000e+08
2005:104:09:34:01   2005:107:01:04:01    1.82921965170e+09    8.96939529000e+07
2005:107:01:04:01   2005:109:16:29:00    1.37488064160e+09    2.09386272600e+08
2005:109:16:29:00   2005:112:07:59:01    9.82271833200e+08    2.66665095600e+08
2005:112:07:59:01   2005:114:23:24:01    1.79303312820e+09    3.30080240400e+08
2005:114:23:24:01   2005:117:14:54:01    1.45892978460e+09    1.66536296400e+08
2005:117:14:54:01   2005:120:06:19:01    1.08894403410e+09    1.85844382800e+08
2005:120:06:19:01   2005:122:21:49:01    3.35900464950e+09    8.08343680800e+08
2005:122:21:49:01   2005:125:13:14:03    1.84903689300e+09    2.80215297900e+08
2005:125:13:14:03   2005:128:04:44:00    1.57591227330e+09    4.40583351600e+08
2005:128:04:44:00   2005:130:20:14:01    9.31908505740e+09    4.47994550520e+09
2005:130:20:14:01   2005:133:11:39:01    2.38599770520e+09    8.06572787040e+08
2005:133:11:39:01   2005:136:03:09:01    7.55674987080e+09    1.64102995800e+07
2005:136:03:09:01   2005:138:18:34:00    7.84428714930e+09    6.08858395740e+08
2005:138:18:34:00   2005:141:10:04:00    3.71816482890e+09    5.01342546000e+07
2005:141:10:04:00   2005:144:01:29:01    3.72600995409e+09    1.84764139200e+09
2005:144:01:29:01   2005:146:16:59:00    1.52795662692e+09    8.25608181870e+08
2005:146:16:59:00   2005:149:08:24:01    2.64601638375e+09    1.48208788875e+09
2005:149:08:24:01   2005:151:23:54:00    3.79337073150e+09    1.54629611640e+09
2005:151:23:54:00   2005:154:15:24:00    1.94502087009e+09    3.45166723800e+08
2005:154:15:24:00   2005:157:06:49:01    2.45058890676e+09    1.09015085976e+09
2005:157:06:49:01   2005:159:22:19:00    1.78199655090e+09    9.35860629600e+08
2005:159:22:19:00   2005:162:13:44:00    1.12850140143e+09    3.44212074186e+08
2005:162:13:44:00   2005:165:05:14:01    2.27270140110e+09    9.81873112860e+08
2005:165:05:14:01   2005:167:20:39:00    4.32261858240e+09    1.34729087040e+09
2005:167:20:39:00   2005:170:12:09:01    5.94916168410e+09    1.34343590910e+09
2005:170:12:09:01   2005:173:03:34:00    1.59978144450e+09    3.06625286400e+08
2005:173:03:34:00   2005:175:19:04:00    2.34372898380e+09    7.42957267800e+08
2005:175:19:04:00   2005:178:10:29:00    3.73965784920e+09    7.58348425200e+08
2005:178:10:29:00   2005:181:01:59:00    1.86780966858e+09    2.69082946620e+08
2005:181:01:59:00   2005:183:17:29:01    2.58137170626e+09    8.46800008260e+08
2005:183:17:29:01   2005:186:08:54:00    3.33116827890e+09    7.80578922900e+08
2005:186:08:54:00   2005:189:00:24:01    1.35789480612e+09    2.38184891616e+08
2005:189:00:24:01   2005:191:15:49:00    5.14911598683e+09    1.12446367683e+09
2005:191:15:49:00   2005:194:07:19:00    7.67091863430e+09    2.26578591258e+09
2005:194:07:19:00   2005:196:22:44:01    5.90483086260e+09    8.14618528440e+08
2005:196:22:44:01   2005:199:14:14:01    5.34154701804e+09    1.67737881804e+09
2005:199:14:14:01   2005:202:05:39:00    4.28107724280e+09    1.03827410388e+09
2005:202:05:39:00   2005:204:21:04:02    3.44893927590e+09    9.40187832900e+08
2005:204:21:04:02   2005:207:12:34:00    1.26920653770e+09    1.92682004700e+08
2005:207:12:34:00   2005:210:04:04:00    3.10208177460e+09    8.13871989600e+08
2005:210:04:04:00   2005:212:19:29:01    3.94461853308e+09    8.61502279680e+08
2005:212:19:29:01   2005:215:10:59:02    8.03134151781e+09    4.68074358621e+09
2005:215:10:59:02   2005:218:02:24:00    5.02353041736e+09    1.92777908286e+09
2005:218:02:24:00   2005:220:17:54:01    6.05554742040e+09    8.85669333960e+08
2005:220:17:54:01   2005:223:09:19:00    2.81722292190e+09    5.82092623800e+08
2005:223:09:19:00   2005:226:00:49:00    4.89309996372e+09    1.33999362656e+09
2005:226:00:49:00   2005:228:16:14:01    5.45128771872e+09    4.30850576064e+08
2005:228:16:14:01   2005:231:07:44:01    4.20985448820e+09    1.06794433092e+09
2005:231:07:44:01   2005:233:23:09:00    6.43572334761e+09    7.26085870842e+08
2005:233:23:09:00   2005:236:14:39:00    1.99336879182e+10    3.79268039700e+08
2005:236:14:39:00   2005:239:06:09:00    1.00091501517e+10    0.00000000000e+00
2005:239:06:09:00   2005:241:21:34:01    2.88196719402e+09    6.65876310900e+08
2005:241:21:34:01   2005:244:13:04:00    5.27677335918e+09    1.16665103032e+09
2005:244:13:04:00   2005:247:04:29:01    8.77671581910e+09    2.05268724300e+09
2005:247:04:29:01   2005:249:19:59:01    7.78254948990e+09    7.62641450100e+08
2005:249:19:59:01   2005:252:11:24:00    3.35584980420e+09    3.85714609500e+08
2005:252:11:24:00   2005:255:02:54:00    4.54171429667e+10    0.00000000000e+00
2005:255:02:54:00   2005:257:18:19:02    1.53299091564e+10    5.17590767400e+08
2005:257:18:19:02   2005:260:09:49:00    1.16256914224e+10    1.68973378194e+09
2005:260:09:49:00   2005:263:01:14:01    6.48964337160e+09    1.72264668750e+09
2005:263:01:14:01   2005:265:16:44:01    3.02263248522e+09    1.18841249322e+09
2005:265:16:44:01   2005:268:08:14:01    1.88314542702e+09    6.70151267520e+08
2005:268:08:14:01   2005:270:23:39:00    3.24928967787e+09    4.25136555870e+08
2005:270:23:39:00   2005:273:15:09:01    2.39045915280e+09    1.03927239780e+09
2005:273:15:09:01   2005:276:06:34:00    3.77267246430e+09    1.13002646130e+09
2005:276:06:34:00   2005:278:22:04:00    1.65091967445e+09    5.87604181650e+08
2005:278:22:04:00   2005:281:13:29:01    4.71694243410e+09    2.22949054938e+09
2005:281:13:29:01   2005:284:04:59:00    4.77900448410e+09    7.35131487600e+08
2005:284:04:59:00   2005:286:20:24:01    2.16025261530e+09    8.91957294300e+08
2005:286:20:24:01   2005:289:11:54:00    1.43288676741e+09    3.18150094410e+08
2005:289:11:54:00   2005:292:03:24:01    1.87077915727e+09    6.27587443275e+08
2005:292:03:24:01   2005:294:18:49:00    1.13251095948e+09    2.61553373676e+08
2005:294:18:49:00   2005:297:10:19:00    1.31917274820e+09    3.66029316000e+08
2005:297:10:19:00   2005:300:01:44:00    3.81862828412e+09    6.27459042018e+08
2005:300:01:44:00   2005:302:17:14:00    1.50507552711e+09    8.64882628110e+08
2005:302:17:14:00   2005:305:08:39:00    3.11521513830e+09    5.71752480120e+08
2005:305:08:39:00   2005:308:00:09:00    4.65586115787e+09    1.95601172673e+08
2005:308:00:09:00   2005:310:15:34:00    2.71478119050e+09    1.43995409550e+09
2005:310:15:34:00   2005:313:07:04:01    1.90191433371e+09    3.51525412710e+08
2005:313:07:04:01   2005:315:22:29:01    1.55644534803e+09    2.74852986619e+08
2005:315:22:29:01   2005:318:13:59:02    1.75596841689e+09    4.97190067893e+08
2005:318:13:59:02   2005:321:05:29:00    9.75392353200e+08    2.80854230100e+08
2005:321:05:29:00   2005:323:20:54:00    1.84182203289e+09    1.14899225486e+08
2005:323:20:54:00   2005:326:12:24:01    9.70826871630e+08    2.13239810766e+08
2005:326:12:24:01   2005:329:03:49:01    2.46492484620e+09    6.86146977900e+08
2005:329:03:49:01   2005:331:19:19:01    1.10331146800e+09    1.94516391942e+08
2005:331:19:19:01   2005:334:10:44:00    2.38279721382e+09    3.20548628220e+08
2005:334:10:44:00   2005:337:02:14:01    2.55617250090e+09    4.10699377620e+08
2005:337:02:14:01   2005:342:09:09:01    4.40566647219e+08    2.92019030790e+07
2005:342:09:09:01   2005:345:17:39:01    3.80726107410e+08    1.78099825890e+08
2005:345:17:39:01   2005:347:16:04:00    1.54909318716e+09    2.45268904560e+08
2005:347:16:04:00   2005:350:07:34:00    1.64395404267e+09    7.93540040730e+07
2005:350:07:34:00   2005:352:22:59:01    1.11849429745e+09    9.77313134523e+07
2005:352:22:59:01   2005:355:14:29:01    2.92887359682e+09    0.00000000000e+00
2005:355:14:29:01   2005:358:05:54:01    1.29851409776e+09    6.87499668000e+06
2005:358:05:54:01   2005:360:21:24:00    2.18340157088e+09    2.24648079480e+07
2005:360:21:24:00   2005:363:12:49:00    5.69953093097e+09    8.28924248754e+07
2005:363:12:49:00   2006:001:04:19:00    3.73590374704e+09    9.75145499940e+06
2006:001:04:19:00   2006:003:19:44:00    2.15790440404e+09    4.52070445800e+07
2006:003:19:44:00   2006:006:11:14:00    2.54057933125e+09    1.83801125490e+07
2006:006:11:14:00   2006:009:02:44:00    1.84697971679e+09    1.47611421360e+07
2006:009:02:44:00   2006:011:18:09:00    1.47722505843e+09    1.01763194283e+08
2006:011:18:09:00   2006:014:09:39:00    1.15852030329e+09    1.30806357976e+08
2006:014:09:39:00   2006:017:01:04:00    2.17296850030e+09    1.82656950666e+08
2006:017:01:04:00   2006:019:16:34:00    3.41099667278e+09    2.23983236480e+08
2006:019:16:34:00   2006:022:07:59:00    2.91098041371e+09    1.57065508702e+08
2006:022:07:59:00   2006:024:23:24:01    2.85340703400e+09    3.31674243000e+08
2006:024:23:24:01   2006:027:14:54:00    3.55266088164e+09    2.22140142168e+08
2006:027:14:54:00   2006:030:06:19:00    2.90060810536e+09    2.68476322329e+08
2006:030:06:19:00   2006:032:21:49:00    1.51737365027e+09    9.68588488692e+07
2006:032:21:49:00   2006:035:13:19:00    2.33978234097e+09    1.41458934213e+08
2006:035:13:19:00   2006:038:04:44:00    1.95295508236e+09    1.87023076404e+08
2006:038:04:44:00   2006:040:20:14:00    1.50399229734e+09    1.31504199071e+08
2006:040:20:14:00   2006:043:11:39:00    1.76408259916e+09    2.23788398862e+08
2006:043:11:39:00   2006:046:03:09:00    2.15281352278e+09    7.98198716370e+07
2006:046:03:09:00   2006:048:18:34:00    2.97650762012e+09    4.84046810136e+08
2006:048:18:34:00   2006:051:10:04:00    2.85723644172e+09    2.68181753841e+08
2006:051:10:04:00   2006:054:01:29:01    6.57997344089e+09    2.80955517297e+08
2006:054:01:29:01   2006:056:16:59:00    2.99407250411e+09    2.25094558721e+08
2006:056:16:59:00   2006:059:08:24:03    1.31005012350e+09    3.17098194270e+08
2006:059:08:24:03   2006:061:23:54:01    2.63099366215e+09    7.99299950100e+07
2006:061:23:54:01   2006:064:15:24:00    1.26367589751e+09    2.31531937410e+08
2006:064:15:24:00   2006:067:06:49:01    1.23055753437e+09    3.15474214680e+08
2006:067:06:49:01   2006:069:22:19:01    1.84993686801e+09    2.43515039310e+08
2006:069:22:19:01   2006:072:13:44:00    3.16404788673e+09    3.82417805940e+08
2006:072:13:44:00   2006:075:05:14:00    1.26101652210e+09    1.87049946180e+08
2006:075:05:14:00   2006:077:20:39:00    2.84007496200e+09    3.04940148000e+08
2006:077:20:39:00   2006:080:12:09:01    4.62484858080e+09    9.48125437800e+08
2006:080:12:09:01   2006:083:03:34:01    3.97450007580e+09    2.45830712760e+08
2006:083:03:34:01   2006:085:19:04:00    1.27527729594e+09    2.11456647240e+08
2006:085:19:04:00   2006:088:10:34:00    1.31841228420e+09    2.23165954200e+08
2006:088:10:34:00   2006:091:01:59:00    8.54247227100e+08    1.42434664920e+08
2006:091:01:59:00   2006:093:17:29:04    5.20000631490e+08    1.10703519165e+08
2006:093:17:29:04   2006:096:08:54:00    1.21412458089e+09    2.29226340000e+08
2006:096:08:54:00   2006:099:00:24:00    1.06338163710e+09    8.58361024800e+07
2006:099:00:24:00   2006:101:15:49:00    4.85414477400e+09    7.73756371800e+08
2006:101:15:49:00   2006:104:07:19:01    2.31563486550e+09    1.88755714500e+08
2006:104:07:19:01   2006:106:22:44:00    6.31290668310e+09    7.92280558500e+08
2006:106:22:44:00   2006:109:14:14:01    1.89955074279e+09    3.07794884490e+08
2006:109:14:14:01   2006:112:05:39:00    1.23999199380e+09    2.07116063040e+08
2006:112:05:39:00   2006:114:21:09:00    3.23184846120e+09    1.57025369760e+08
2006:114:21:09:00   2006:117:12:39:00    1.05699902550e+09    3.04290985800e+08
2006:117:12:39:00   2006:120:04:04:00    1.03523739780e+09    3.69028367100e+08
2006:120:04:04:00   2006:122:19:34:01    7.01835033000e+08    2.24765508000e+08
2006:122:19:34:01   2006:125:10:59:00    1.26765120660e+09    6.55894648200e+08
2006:125:10:59:00   2006:128:02:29:00    1.73186530230e+09    1.05350022780e+09
2006:128:02:29:00   2006:130:17:54:00    1.92583836468e+09    7.77557262660e+08
2006:130:17:54:00   2006:133:09:24:01    5.32236003960e+09    8.39965065720e+08
2006:133:09:24:01   2006:136:00:49:00    3.40498397703e+09    1.81142076555e+09
2006:136:00:49:00   2006:138:16:19:00    1.38002193399e+09    9.12265351980e+07
2006:138:16:19:00   2006:141:07:44:01    3.07524486753e+09    1.23508742493e+09
2006:141:07:44:01   2006:143:23:14:00    1.65565418190e+09    7.93542354900e+08
2006:143:23:14:00   2006:146:14:44:00    1.14469995303e+09    3.98921828730e+08
2006:146:14:44:00   2006:149:06:09:00    1.11761197830e+09    4.08782616120e+08
2006:149:06:09:00   2006:151:21:39:00    8.94782399490e+08    3.03076584690e+08
2006:151:21:39:00   2006:154:13:04:01    2.19866093280e+09    8.08290168900e+08
2006:154:13:04:01   2006:157:04:34:01    1.09257713760e+09    2.71344928740e+08
2006:157:04:34:01   2006:159:19:59:00    4.61895635160e+09    1.44714249360e+09
2006:159:19:59:00   2006:162:11:29:00    3.77143570860e+09    6.83187934020e+08
2006:162:11:29:00   2006:165:02:54:00    1.85346169005e+09    2.86672407402e+08
2006:165:02:54:00   2006:167:18:24:00    2.63890151430e+09    8.16475227300e+08
2006:167:18:24:00   2006:170:13:34:01    2.51815555590e+09    8.74182900900e+08
2006:170:13:34:01   2006:173:01:19:01    1.18137328782e+09    1.02180219840e+08
2006:173:01:19:01   2006:175:16:44:01    1.18824735228e+09    9.86028388800e+07
2006:175:16:44:01   2006:178:08:14:01    1.35880529865e+09    3.19534218150e+08
2006:178:08:14:01   2006:180:23:39:00    2.55479722980e+09    8.35649103000e+08
2006:180:23:39:00   2006:183:15:09:00    2.73397334184e+09    5.42576727840e+08
2006:183:15:09:00   2006:186:06:34:01    3.11168373511e+09    3.80749873886e+08
2006:186:06:34:01   2006:188:22:04:01    3.03717846741e+09    5.80850878995e+08
2006:188:22:04:01   2006:191:13:29:01    1.75901192613e+09    8.24029557000e+07
2006:191:13:29:01   2006:194:04:59:00    2.02800574914e+09    5.78689339140e+08
2006:194:04:59:00   2006:196:20:24:00    2.36714042580e+09    3.72633925920e+08
2006:196:20:24:00   2006:199:11:54:00    1.41180006948e+09    2.40293899200e+08
2006:199:11:54:00   2006:202:03:24:01    9.98062119990e+08    6.02588511780e+07
2006:202:03:24:01   2006:204:18:49:00    9.52179504780e+08    1.50203092380e+08
2006:204:18:49:00   2006:207:10:19:00    1.39055463072e+09    3.17609621820e+08
2006:207:10:19:00   2006:210:01:44:00    2.41221174789e+09    4.59796558890e+08
2006:210:01:44:00   2006:212:17:14:00    3.69979484004e+09    4.90081435290e+08
2006:212:17:14:00   2006:215:08:39:00    2.81663420700e+09    4.21200117000e+08
2006:215:08:39:00   2006:218:00:09:01    1.82863625472e+09    3.83858577720e+08
2006:218:00:09:01   2006:220:15:34:00    6.67032377511e+09    5.81664997410e+08
2006:220:15:34:00   2006:223:07:04:01    3.21053598495e+09    9.35224425900e+07
2006:223:07:04:01   2006:225:22:29:00    2.53717846353e+09    3.40884874986e+08
2006:225:22:29:00   2006:228:13:59:00    1.45216229955e+09    1.60814852550e+08
2006:228:13:59:00   2006:231:05:29:00    2.41043358930e+09    4.49888046420e+08
2006:231:05:29:00   2006:233:20:54:00    5.84799072330e+09    9.18641067300e+08
2006:233:20:54:00   2006:236:12:24:00    3.41033540805e+09    1.80573099600e+08
2006:236:12:24:00   2006:239:03:49:00    2.22100842357e+09    5.29322151570e+08
2006:239:03:49:00   2006:241:19:19:01    4.88184161232e+09    1.13593384932e+09
2006:241:19:19:01   2006:244:10:44:00    3.19977297870e+09    5.53154699700e+08
2006:244:10:44:00   2006:247:02:14:01    4.11974073420e+09    1.32711985320e+09
2006:247:02:14:01   2006:249:17:39:01    9.78734015697e+09    1.05761151477e+09
2006:249:17:39:01   2006:252:09:09:00    2.63883923388e+09    8.77256856000e+07
2006:252:09:09:00   2006:255:00:39:01    2.27738956962e+09    4.44849883620e+08
2006:255:00:39:01   2006:257:16:04:00    3.63336734055e+09    9.24001160550e+08
2006:257:16:04:00   2006:260:07:34:01    2.79214512468e+09    4.26196006680e+08
2006:260:07:34:01   2006:262:22:59:01    5.11592989800e+09    1.75659072300e+09
2006:262:22:59:01   2006:265:14:29:00    1.17960206043e+09    1.48386096630e+08
2006:265:14:29:00   2006:268:05:54:00    2.55787519641e+09    6.40452016410e+08
2006:268:05:54:00   2006:270:21:24:00    2.07969172560e+09    6.09686802600e+08
2006:270:21:24:00   2006:273:12:49:00    3.23185663626e+09    2.61726664260e+08
2006:273:12:49:00   2006:276:04:19:00    2.31534241665e+09    5.59252389300e+08
2006:276:04:19:00   2006:278:19:49:01    1.21868061834e+09    3.55372133340e+08
2006:278:19:49:01   2006:281:11:14:01    1.91380589526e+09    6.87035218260e+08
2006:281:11:14:01   2006:284:02:44:00    1.00000253929e+09    1.32968981535e+08
2006:284:02:44:00   2006:286:18:09:01    3.91142317527e+09    8.64471357774e+08
2006:286:18:09:01   2006:289:09:39:01    2.84142032310e+09    9.38442074220e+08
2006:289:09:39:01   2006:292:01:04:00    1.19472522465e+09    3.20595233847e+08
2006:292:01:04:00   2006:294:16:34:00    2.61723216996e+09    9.22643414462e+08
2006:294:16:34:00   2006:297:07:59:00    1.38724177620e+09    2.11019547600e+08
2006:297:07:59:00   2006:299:23:29:01    1.11487717140e+09    3.61982312463e+08
2006:299:23:29:01   2006:302:14:54:00    3.34666560184e+09    8.68972054235e+08
2006:302:14:54:00   2006:305:06:24:01    1.79335089660e+09    5.37328132500e+08
2006:305:06:24:01   2006:307:21:54:00    1.20096554444e+09    2.97562981341e+08
2006:307:21:54:00   2006:310:13:24:01    1.18258580490e+09    2.77926144117e+08
2006:310:13:24:01   2006:313:04:49:00    5.22997912679e+08    8.83233061794e+07
2006:313:04:49:00   2006:318:11:44:01    1.04996325999e+09    3.69490329690e+08
2006:318:11:44:01   2006:321:03:09:00    1.04649104100e+09    3.09360392100e+08
2006:321:03:09:00   2006:323:18:39:01    1.41613671666e+09    2.99632411560e+08
2006:323:18:39:01   2006:326:10:04:01    9.81247141798e+08    1.09198672797e+08
2006:326:10:04:01   2006:329:01:34:01    2.48275590930e+09    8.54472483300e+08
2006:329:01:34:01   2006:331:16:59:00    2.41832840208e+09    6.53481179280e+08
2006:331:16:59:00   2006:334:08:29:00    2.76083413859e+09    1.79834059668e+08
2006:334:08:29:00   2006:336:23:59:00    1.78616412185e+09    1.12585106955e+08
2006:336:23:59:00   2006:339:15:24:00    7.24495580499e+08    4.74283912230e+07
2006:339:15:24:00   2006:342:06:54:02    1.46907805497e+09    1.92519674340e+08
2006:342:06:54:02   2006:344:22:19:01    3.11384081838e+09    9.75083847900e+07
2006:344:22:19:01   2006:347:13:49:00    2.59334237580e+09    4.14243393300e+08
2006:347:13:49:00   2006:350:05:14:00    5.01316493226e+09    2.40942918000e+07
2006:350:05:14:00   2006:352:20:39:01    2.32054741429e+09    2.99133985086e+08
2006:352:20:39:01   2006:355:12:09:00    5.41624569780e+09    5.36965702200e+08
2006:355:12:09:00   2006:358:03:34:01    3.73462642237e+09    3.63670336365e+08
2006:358:03:34:01   2006:360:19:04:00    3.03303217458e+09    3.03599947971e+08
2006:360:19:04:00   2006:363:10:34:00    1.25071253485e+09    1.60978146852e+08
2006:363:10:34:00   2007:001:01:59:00    1.18494748357e+09    1.18009848075e+08
2007:001:01:59:00   2007:003:17:29:00    4.46766166122e+09    5.96305234620e+08
2007:003:17:29:00   2007:006:08:54:00    4.27462299827e+09    6.64089280059e+08
2007:006:08:54:00   2007:009:00:24:01    1.95100231782e+09    2.05775242480e+08
2007:009:00:24:01   2007:011:15:49:00    1.95630082423e+09    7.21542358320e+07
2007:011:15:49:00   2007:014:07:19:01    2.12031832943e+09    1.94472885552e+08
2007:014:07:19:01   2007:016:22:44:00    3.28551769629e+09    5.43865750887e+08
2007:016:22:44:00   2007:019:14:14:00    7.98807397030e+09    1.58136703308e+08
2007:019:14:14:00   2007:022:05:39:00    2.75009741077e+09    3.26374520100e+08
2007:022:05:39:00   2007:024:21:09:00    2.03174395836e+09    3.16730812530e+08
2007:024:21:09:00   2007:027:12:39:00    1.07788747080e+09    2.24627815797e+08
2007:027:12:39:00   2007:030:04:04:00    2.42071456749e+09    2.92618790880e+08
2007:030:04:04:00   2007:032:19:34:00    6.04599233100e+09    9.42670670997e+08
2007:032:19:34:00   2007:035:10:59:00    2.40980959743e+09    3.89260697977e+08
2007:035:10:59:00   2007:038:02:29:00    1.61244012096e+09    2.04989355312e+08
2007:038:02:29:00   2007:040:17:54:00    2.96281079707e+09    1.50543112872e+08
2007:040:17:54:00   2007:043:09:24:00    2.15088757092e+09    3.29574453060e+08
2007:043:09:24:00   2007:046:00:49:00    4.10608127280e+09    4.09231243800e+08
2007:046:00:49:00   2007:048:16:19:00    4.41384115539e+09    1.50396271878e+08
2007:048:16:19:00   2007:051:07:49:00    2.23947902370e+09    1.52684950800e+08
2007:051:07:49:00   2007:053:23:14:00    1.46428422246e+09    1.59831155460e+08
2007:053:23:14:00   2007:056:14:44:00    1.06661207490e+09    1.79512260900e+08
2007:056:14:44:00   2007:059:06:09:01    2.09066720970e+09    8.90053795800e+07
2007:059:06:09:01   2007:061:21:39:01    4.08339748470e+09    1.14675018840e+08
2007:061:21:39:01   2007:064:13:04:01    1.14296262510e+09    2.25437353860e+08
2007:064:13:04:01   2007:067:04:34:00    2.74419885240e+09    5.76177233400e+08
2007:067:04:34:00   2007:069:19:59:00    1.79226255930e+09    2.22166485000e+08
2007:069:19:59:00   2007:072:11:29:00    1.85608119180e+09    2.66787656040e+08
2007:072:11:29:00   2007:075:02:59:01    3.12982078140e+09    3.16606958820e+08
2007:075:02:59:01   2007:077:18:24:00    2.26954626450e+09    4.35445847400e+08
2007:077:18:24:00   2007:080:09:54:00    6.42525456900e+08    7.14265360800e+07
2007:080:09:54:00   2007:083:01:24:01    6.40685578020e+08    1.77699370824e+08
2007:083:01:24:01   2007:085:16:49:00    3.27360643410e+09    3.33107233080e+08
2007:085:16:49:00   2007:088:08:19:00    1.10965818690e+09    2.98833868860e+08
2007:088:08:19:00   2007:090:23:44:00    7.98646260870e+08    1.37839409034e+08
2007:090:23:44:00   2007:093:15:14:01    3.28306870860e+09    7.10344024380e+08
2007:093:15:14:01   2007:096:06:39:00    1.24892102745e+09    2.72682714150e+08
2007:096:06:39:00   2007:098:22:09:01    6.92004392400e+08    1.57452896700e+08
2007:098:22:09:01   2007:101:13:34:00    2.11525753401e+09    3.48114812910e+08
2007:101:13:34:00   2007:104:05:04:01    6.83697768540e+08    2.53269768840e+08
2007:104:05:04:01   2007:106:20:34:00    7.49093454900e+08    1.52375392500e+08
2007:106:20:34:00   2007:109:11:59:00    8.32705228500e+08    2.54010544080e+08
2007:109:11:59:00   2007:112:03:29:00    1.07970186720e+09    3.75541600200e+08
2007:112:03:29:00   2007:114:18:54:00    2.06388894390e+09    2.12252473200e+08
2007:114:18:54:00   2007:117:10:24:00    1.82537181606e+09    8.90528108460e+08
2007:117:10:24:00   2007:120:01:49:00    4.36039421550e+09    2.29660271460e+09
2007:120:01:49:00   2007:122:17:19:00    5.09828590530e+09    2.09743678980e+09
2007:122:17:19:00   2007:125:08:44:01    1.41801487749e+09    7.61510867790e+08
2007:125:08:44:01   2007:128:00:14:00    1.52453854351e+09    4.52002546515e+08
2007:128:00:14:00   2007:130:15:39:01    2.52848794350e+09    9.10290789000e+08
2007:130:15:39:01   2007:133:07:09:00    1.47342398280e+09    4.60069263840e+08
2007:133:07:09:00   2007:135:22:39:01    7.24194565230e+08    1.79539227066e+08
2007:135:22:39:01   2007:138:14:04:00    1.68964269885e+09    3.33863304870e+08
2007:138:14:04:00   2007:141:05:29:00    2.17837203810e+09    1.39101076380e+08
2007:141:05:29:00   2007:143:20:59:00    1.56248589300e+09    2.02598047200e+08
2007:143:20:59:00   2007:146:12:24:00    3.16350327720e+09    1.04272185720e+09
2007:146:12:24:00   2007:149:03:54:00    2.26926355650e+09    6.77663268300e+08
2007:149:03:54:00   2007:151:19:19:00    1.13324431206e+09    3.38044948560e+08
2007:151:19:19:00   2007:154:10:49:01    1.57682831550e+09    4.49584032000e+08
2007:154:10:49:01   2007:157:02:14:00    2.06295112920e+09    3.94524715800e+08
2007:157:02:14:00   2007:159:17:44:00    1.05385044111e+09    2.00803717110e+08
2007:159:17:44:00   2007:162:09:14:00    2.31213198504e+09    8.48469555540e+08
2007:162:09:14:00   2007:165:00:39:00    1.40520699093e+09    2.46208464930e+08
2007:165:00:39:00   2007:167:16:09:01    3.98527779330e+09    8.00084429100e+08
2007:167:16:09:01   2007:170:07:34:01    2.06099163006e+09    5.67483867060e+08
2007:170:07:34:01   2007:172:23:04:01    2.15419194807e+09    3.65048767170e+08
2007:172:23:04:01   2007:175:14:29:00    3.54911627752e+09    7.24765644516e+08
