Orbit Start Time     Orbit Stop Time     External Fluence     Attenuated Fluence
yyyy:doy:hh:mm:ss   yyyy:doy:hh:mm:ss    (p/cm^2-sr-Mev)       (p/cm^2-sr-Mev)
--------------------------------------------------------------------------------
2001:097:18:49:00   2001:100:10:19:00    8.32497580230e+09    2.06440415040e+08
2001:100:10:19:00   2001:103:01:44:00    2.93229046406e+10    2.23290564646e+09
2001:103:01:44:00   2001:105:17:14:00    2.53471223870e+09    5.20662161163e+08
2001:105:17:14:00   2001:108:08:39:01    4.67873202567e+09    1.47494909736e+09
2001:108:08:39:01   2001:111:00:09:02    1.56230354163e+09    1.97008870443e+08
2001:111:00:09:02   2001:113:15:34:01    1.03987955275e+09    3.35333391291e+08
2001:113:15:34:01   2001:116:07:04:00    1.23757214971e+09    6.27769123806e+08
2001:116:07:04:00   2001:118:22:34:01    3.18270676313e+09    8.09542792131e+08
2001:118:22:34:01   2001:121:13:59:01    1.67424528367e+09    5.38019187672e+08
2001:121:13:59:01   2001:124:05:29:01    8.80746034050e+08    3.27281218050e+08
2001:124:05:29:01   2001:126:20:54:01    9.93402102090e+08    2.36409696090e+08
2001:126:20:54:01   2001:129:12:24:00    1.12707663867e+09    1.00208053734e+08
2001:129:12:24:00   2001:132:03:49:00    2.07422626476e+09    1.35494374752e+08
2001:132:03:49:00   2001:134:19:19:00    2.25060934620e+09    9.69958586400e+08
2001:134:19:19:00   2001:137:10:44:00    7.28365546200e+08    4.46175230100e+08
2001:137:10:44:00   2001:140:02:14:00    9.19132977900e+08    5.69557827900e+08
2001:140:02:14:00   2001:142:17:39:01    7.52060798100e+08    2.33735028840e+08
2001:142:17:39:01   2001:145:09:09:01    1.54520608230e+09    2.34396101400e+08
2001:145:09:09:01   2001:148:00:39:00    2.17928898000e+09    3.03529189800e+08
2001:148:00:39:00   2001:150:16:09:01    1.58033436090e+09    9.50346464400e+08
2001:150:16:09:01   2001:155:23:04:00    1.05005049330e+09    5.21202037800e+08
2001:155:23:04:00   2001:158:14:34:01    4.59364647300e+08    2.19226558500e+08
2001:158:14:34:01   2001:161:05:59:01    7.99826275200e+08    4.07596270800e+08
2001:161:05:59:01   2001:163:21:29:00    1.26793054050e+09    3.06708064800e+08
2001:163:21:29:00   2001:166:12:54:01    5.58461454900e+08    1.19927074140e+08
2001:166:12:54:01   2001:169:04:24:00    5.68689340800e+08    3.03225561000e+08
2001:169:04:24:00   2001:171:19:54:01    4.16353424640e+09    2.23848098040e+09
2001:171:19:54:01   2001:174:11:24:01    1.56471104640e+09    7.00899984300e+08
2001:174:11:24:01   2001:177:02:54:00    1.77767462730e+09    2.40173817120e+08
2001:177:02:54:00   2001:179:18:19:00    1.46519046090e+09    8.73039828000e+07
2001:179:18:19:00   2001:182:09:49:00    6.27228655800e+08    4.18170262200e+07
2001:182:09:49:00   2001:185:01:19:00    7.20271014510e+08    1.87794204390e+08
2001:185:01:19:00   2001:187:16:44:00    7.04331524460e+08    2.98734687570e+08
2001:187:16:44:00   2001:190:08:14:01    1.39843162530e+09    1.80396522300e+08
2001:190:08:14:01   2001:192:23:39:01    8.96856305610e+08    2.65039392900e+08
2001:192:23:39:01   2001:195:15:09:00    1.83775369020e+09    6.97745376000e+08
2001:195:15:09:00   2001:198:06:39:00    4.61261285520e+09    1.07108382660e+09
2001:198:06:39:00   2001:200:22:09:02    5.87414542380e+09    2.09604025380e+09
2001:200:22:09:02   2001:203:13:39:01    2.83988653290e+09    1.16129743290e+09
2001:203:13:39:01   2001:206:05:04:00    2.88585383760e+09    1.08043309560e+09
2001:206:05:04:00   2001:208:20:34:01    2.36104817220e+09    2.44772643000e+08
2001:208:20:34:01   2001:211:11:59:01    1.13831446950e+09    4.41979672500e+08
2001:211:11:59:01   2001:214:03:29:00    2.41335945510e+09    1.30044718350e+09
2001:214:03:29:00   2001:216:18:59:00    1.95627552720e+09    4.27609740840e+08
2001:216:18:59:00   2001:219:10:24:00    2.38622190720e+09    6.13104021360e+08
2001:219:10:24:00   2001:222:01:54:02    3.11123543310e+09    1.40728212342e+09
2001:222:01:54:02   2001:224:17:24:00    1.85004262320e+09    1.20572150640e+08
2001:224:17:24:00   2001:227:08:54:00    4.78581851700e+09    1.85904438750e+09
2001:227:08:54:00   2001:230:00:24:00    1.59812517584e+10    0.00000000000e+00
2001:230:00:24:00   2001:232:15:49:00    4.21334435346e+09    4.29192268110e+08
2001:232:15:49:00   2001:235:07:19:01    2.97650028825e+09    1.40685506325e+09
2001:235:07:19:01   2001:237:22:44:00    1.97014399332e+09    6.11212303320e+08
2001:237:22:44:00   2001:240:14:14:01    2.99756873505e+09    6.92646015330e+08
2001:240:14:14:01   2001:243:05:39:01    3.52217892759e+09    2.64683070759e+09
2001:243:05:39:01   2001:245:21:09:02    2.43398918988e+09    6.68415653880e+08
2001:245:21:09:02   2001:248:12:34:01    3.40207984260e+09    1.78844920260e+09
2001:248:12:34:01   2001:251:04:04:00    2.87338003182e+09    1.17734925582e+09
2001:251:04:04:00   2001:253:19:34:01    8.90624520300e+08    3.86432184300e+08
2001:253:19:34:01   2001:256:10:59:01    3.25613094978e+09    3.99811866423e+08
2001:256:10:59:01   2001:259:02:29:01    6.67100229853e+09    3.09348698576e+09
2001:259:02:29:01   2001:261:17:54:01    1.95073892489e+09    8.68294593895e+08
2001:261:17:54:01   2001:264:09:24:00    2.12241110133e+09    5.87598122664e+08
2001:264:09:24:00   2001:267:00:49:01    9.76656601071e+09    1.65177258600e+08
2001:267:00:49:01   2001:269:16:19:00    1.19336539770e+10    6.00504383400e+07
2001:269:16:19:00   2001:272:07:44:00    1.61110113034e+10    0.00000000000e+00
